Episode 1 reward -211.19860885671142 in 97 steps, epsilon=0.9913122039303918
Episode 2 reward -322.6328818932483 in 81 steps, epsilon=0.9841217357883724
Episode 3 reward -186.6552808615919 in 78 steps, epsilon=0.9772524114416146
Episode 4 reward -426.8923989710267 in 101 steps, epsilon=0.9684367560858902
Episode 5 reward -200.8217748037144 in 105 steps, epsilon=0.9593658756080581
Episode 6 reward -348.55624614022526 in 108 steps, epsilon=0.950134662429871
Episode 7 reward -191.92528885568333 in 99 steps, epsilon=0.9417598529797379
Episode 8 reward -429.8920157502927 in 99 steps, epsilon=0.9334675450866236
Episode 9 reward -201.73023714251704 in 93 steps, epsilon=0.9257522287463624
Episode 10 reward -63.139939826035615 in 88 steps, epsilon=0.918517488677825
Episode 11 reward -145.09799158671134 in 92 steps, epsilon=0.911021661457695
Episode 12 reward -462.28114483112574 in 113 steps, epsilon=0.9019087018741478
Episode 13 reward -127.07407263433859 in 69 steps, epsilon=0.8963945774377929
Episode 14 reward -395.1489390771506 in 101 steps, epsilon=0.8883914759013469
Episode 15 reward -119.01173772073601 in 132 steps, epsilon=0.8780530918669763
Episode 16 reward -154.66447422030515 in 70 steps, epsilon=0.8726257381236854
Episode 17 reward -319.3162357783523 in 87 steps, epsilon=0.8659330496111185
Episode 18 reward -255.74374536718085 in 98 steps, epsilon=0.8584635659754162
Episode 19 reward -404.06645042972093 in 136 steps, epsilon=0.848218287286643
Episode 20 reward -119.2384902617533 in 129 steps, epsilon=0.8386282600456832
Episode 21 reward -305.48730583944297 in 109 steps, epsilon=0.8306209312322893
Episode 22 reward -145.515258201389 in 68 steps, epsilon=0.8256695626324083
Episode 23 reward -98.99532081984796 in 85 steps, epsilon=0.8195275120452468
Episode 24 reward -369.36960949927897 in 94 steps, epsilon=0.812795642786462
Episode 25 reward -312.0239317825863 in 58 steps, epsilon=0.808673394135419
Episode 26 reward -193.39207714381655 in 90 steps, epsilon=0.8023239489502308
Episode 27 reward -367.1441200469371 in 120 steps, epsilon=0.7939464272232096
Episode 28 reward -406.17029589992876 in 137 steps, epsilon=0.7845041881916429
Episode 29 reward -420.945312086698 in 93 steps, epsilon=0.7781678090737455
Episode 30 reward -360.44637253256343 in 86 steps, epsilon=0.772360572823476
Episode 31 reward -287.1488316407704 in 114 steps, epsilon=0.7647391867334343
Episode 32 reward -391.14108946290145 in 120 steps, epsilon=0.7568099868421512
Episode 33 reward -478.84772416691914 in 93 steps, epsilon=0.7507299698651215
Episode 34 reward -274.24968285746854 in 149 steps, epsilon=0.7411059701632657
Episode 35 reward -43.937864701698814 in 85 steps, epsilon=0.7356796638893882
Episode 36 reward -511.15713296871263 in 116 steps, epsilon=0.7283483834228843
Episode 37 reward -233.64822797743267 in 86 steps, epsilon=0.7229677571808405
Episode 38 reward -473.07510231856423 in 114 steps, epsilon=0.7159062518055556
Episode 39 reward -124.1252260582111 in 72 steps, epsilon=0.7114876528371727
