Episode 1 reward -251.12854184939332 in 85 steps, epsilon=0.99235
Episode 2 reward -187.5419053262849 in 67 steps, epsilon=0.98632
Episode 3 reward -303.87925215536427 in 102 steps, epsilon=0.97714
Episode 4 reward -128.69228603547776 in 70 steps, epsilon=0.97084
Episode 5 reward -185.26098870177037 in 93 steps, epsilon=0.96247
Episode 6 reward -151.31462022749776 in 108 steps, epsilon=0.95275
Episode 7 reward -269.8171350372576 in 134 steps, epsilon=0.94069
Episode 8 reward -157.05650392619242 in 89 steps, epsilon=0.93268
Episode 9 reward -190.2075228194546 in 81 steps, epsilon=0.9253899999999999
Episode 10 reward -166.79741523419963 in 69 steps, epsilon=0.91918
Episode 11 reward -223.49803539149474 in 82 steps, epsilon=0.9117999999999999
Episode 12 reward -464.44569415747327 in 100 steps, epsilon=0.9028
Episode 13 reward -290.3023455821222 in 104 steps, epsilon=0.89344
Episode 14 reward -288.01078442983 in 92 steps, epsilon=0.88516
Episode 15 reward -399.15322328254297 in 79 steps, epsilon=0.87805
Episode 16 reward -164.92444134978297 in 121 steps, epsilon=0.8671599999999999
Episode 17 reward -297.08252726019265 in 68 steps, epsilon=0.86104
Episode 18 reward -209.95118158202658 in 93 steps, epsilon=0.85267
Episode 19 reward -574.4628285238094 in 98 steps, epsilon=0.84385
Episode 20 reward -398.31192831029307 in 113 steps, epsilon=0.83368
Episode 21 reward -348.5360340866878 in 71 steps, epsilon=0.82729
Episode 22 reward -188.77587294901343 in 85 steps, epsilon=0.8196399999999999
Episode 23 reward -326.0550481626813 in 76 steps, epsilon=0.8128
Episode 24 reward -169.1700188594159 in 97 steps, epsilon=0.80407
Episode 25 reward -611.8865614755352 in 95 steps, epsilon=0.79552
Episode 26 reward -553.7502449083172 in 98 steps, epsilon=0.7867
Episode 27 reward -223.01278372340653 in 60 steps, epsilon=0.7813
Episode 28 reward -474.92918734306085 in 94 steps, epsilon=0.77284
Episode 29 reward -517.416533863947 in 92 steps, epsilon=0.76456
